Date,Region,Product,Quantity,UnitPrice,StoreLocation,CustomerType,Discount,Salesperson,TotalPrice,PaymentMethod,Promotion,Returned,OrderID,CustomerName,ShippingCost,DeliveryDate,RegionManager
4/24/2024,North,Tablet,19,36.23,Store B,Wholesale,0.15,Diana,688.37,Debit Card,WINTER15,0,REG100639,Cust 7964,33.94,4/27/2024,Ryan
6/6/2024,South,Laptop,1,354.21,Store A,Wholesale,0,Carlos,301.0785,Online,,0,REG101210,Cust 9853,26.16,6/12/2024,Sophie
1/1/2023,East,Tablet,15,298.71,Store C,Retail,0.15,Bob,4480.65,Debit Card,SAVE10,0,REG100651,Cust 2446,11.38,1/8/2023,Eric
6/25/2024,East,Printer,16,104.83,Store A,Wholesale,0.15,Carlos,1677.28,Gift Card,FREESHIP,0,REG100340,Cust 6855,33.99,6/30/2024,Eric
6/21/2025,East,Chair,7,590.79,Store B,Retail,0.1,Eva,3928.7535,Cash,FREESHIP,1,REG100726,Cust 7099,41.39,6/26/2025,Eric
4/11/2023,West,Printer,3,486.52,Store B,Wholesale,0,Carlos,1313.604,Gift Card,,0,REG100198,Cust 5739,16.5,4/20/2023,Wendy
6/20/2025,South,Chair,7,301.01,Store B,Retail,0.1,Diana,1791.0095,Cash,SAVE10,1,REG100037,Cust 3787,34.97,6/30/2025,Sophie
7/27/2024,South,Laptop,8,493.09,Store A,Retail,0.1,Diana,3747.484,Credit Card,FREESHIP,0,REG100654,Cust 1023,11.49,8/5/2024,Sophie
10/6/2023,North,Phone,12,11.95,Store A,Retail,0.1,Carlos,136.23,Online,,0,REG101193,Cust 9438,26.66,10/16/2023,Ryan
5/12/2023,South,Monitor,2,334.48,Store B,Wholesale,0,Alice,668.96,Debit Card,,0,REG101237,Cust 1449,31.53,5/20/2023,Sophie
1/10/2023,East,Desk,13,347.73,Store B,Wholesale,0.15,Diana,4294.4655,Gift Card,FREESHIP,1,REG101088,Cust 3321,31.81,1/20/2023,Eric
5/5/2025,North,Monitor,1,21.75,Store C,Retail,0,Alice,21.75,Cash,FREESHIP,0,REG101355,Cust 6509,7.35,5/14/2025,Ryan
10/31/2024,West,Desk,17,82.2,Store C,Wholesale,0.15,Alice,1397.4,Cash,WINTER15,0,REG100417,Cust 3231,32.5,11/10/2024,Wendy
1/17/2025,North,Laptop,3,448.77,Store A,Retail,0,Alice,1346.31,Online,FREESHIP,0,REG100993,Cust 7367,28.5,1/24/2025,Ryan
6/4/2024,South,Tablet,16,302.58,Store D,Retail,0.15,Alice,4841.28,Online,WINTER15,1,REG100045,Cust 5533,20.76,6/14/2024,Sophie
3/18/2025,West,Tablet,4,62.46,Store D,Wholesale,0.05,Alice,212.364,Debit Card,WINTER15,0,REG100631,Cust 4825,31.91,3/26/2025,Wendy
1/11/2023,South,Tablet,9,15.58,Store D,Retail,0.1,Frank,126.198,Gift Card,FREESHIP,1,REG100308,Cust 9069,27.81,1/19/2023,Sophie
6/19/2023,North,Chair,7,303.79,Store D,Wholesale,0.1,Frank,1807.5505,Credit Card,SAVE10,0,REG100562,Cust 7314,38.85,6/29/2023,Ryan
10/23/2024,South,Phone,14,445.52,Store B,Retail,0.15,Bob,5613.552,Online,SAVE10,0,REG100076,Cust 4456,14.41,10/25/2024,Sophie
2/24/2023,South,Tablet,3,37.63,Store A,Wholesale,0,Carlos,101.601,Debit Card,FREESHIP,0,REG100801,Cust 5737,43.7,3/3/2023,Sophie
1/25/2024,South,Monitor,9,372.44,Store A,Wholesale,0.1,Diana,3184.362,Gift Card,FREESHIP,0,REG100543,Cust 5896,41.87,2/2/2024,Sophie
8/23/2023,West,Printer,14,471.17,Store A,Wholesale,0.15,Carlos,6266.561,Gift Card,FREESHIP,0,REG100232,Cust 8606,26.38,8/26/2023,Wendy
11/5/2023,North,Monitor,6,449.57,Store D,Wholesale,0.05,Frank,2697.42,Gift Card,WINTER15,0,REG100395,Cust 6511,23.09,11/12/2023,Ryan
10/28/2023,West,Tablet,15,127.67,Store D,Retail,0.15,Alice,1723.545,Debit Card,,0,REG100365,Cust 4029,48.77,10/30/2023,Wendy
3/21/2023,West,Desk,19,322.35,Store D,Wholesale,0.2,Alice,5512.185,Debit Card,WINTER15,0,REG101039,Cust 1580,30.06,3/31/2023,Wendy
1/16/2024,South,Tablet,5,440.93,Store B,Wholesale,0.05,Carlos,1984.185,Gift Card,,0,REG100586,Cust 3123,23.84,1/20/2024,Sophie
11/27/2024,South,Phone,13,196.8,Store B,Retail,0.15,Diana,2302.56,Cash,,0,REG101489,Cust 6695,10.12,12/7/2024,Sophie
1/10/2025,West,Tablet,3,98.15,Store D,Wholesale,0,Diana,250.2825,Debit Card,SAVE10,0,REG100735,Cust 7235,46.37,1/18/2025,Wendy
1/4/2025,South,Chair,2,194.97,Store A,Retail,0,Diana,389.94,Credit Card,SAVE10,0,REG100943,Cust 4189,9.89,1/14/2025,Sophie
9/16/2023,South,Monitor,18,448.27,Store C,Wholesale,0.15,Diana,7665.417,Credit Card,SAVE10,0,REG100353,Cust 9919,47.56,9/20/2023,Sophie
1/13/2025,South,Phone,15,18.04,Store C,Wholesale,0.15,Eva,270.6,Credit Card,SAVE10,1,REG100907,Cust 9091,14.35,1/17/2025,Sophie
5/24/2023,North,Tablet,14,207.48,Store C,Wholesale,0.15,Eva,2759.484,Online,,0,REG100174,Cust 8172,5.7,6/2/2023,Ryan
11/26/2024,East,Tablet,7,438.33,Store C,Retail,0.1,Frank,2761.479,Cash,,1,REG100929,Cust 3259,11.57,11/30/2024,Eric
2/1/2024,West,Monitor,11,201.09,Store C,Retail,0.1,Carlos,1880.1915,Cash,,1,REG100991,Cust 6986,48.42,2/4/2024,Wendy
10/31/2023,South,Laptop,3,88.26,Store D,Wholesale,0,Bob,251.541,Debit Card,FREESHIP,0,REG101043,Cust 6348,46.45,11/7/2023,Sophie
10/30/2024,East,Chair,11,445.75,Store A,Wholesale,0.1,Frank,4412.925,Online,SAVE10,0,REG100453,Cust 9592,18.07,11/7/2024,Eric
2/22/2023,East,Printer,14,346.57,Store B,Retail,0.15,Carlos,4366.782,Debit Card,FREESHIP,0,REG100879,Cust 2434,36.83,3/2/2023,Eric
8/22/2023,North,Printer,8,343.53,Store A,Wholesale,0.1,Frank,2748.24,Cash,,0,REG100758,Cust 4703,16.1,9/1/2023,Ryan
6/17/2023,South,Phone,1,418.45,Store C,Retail,0,Diana,355.6825,Cash,WINTER15,0,REG100607,Cust 1116,35.58,6/19/2023,Sophie
8/16/2024,West,Printer,16,483.37,Store B,Retail,0.15,Alice,6960.528,Debit Card,,0,REG101480,Cust 8847,42.52,8/22/2024,Wendy
4/16/2025,West,Monitor,8,583.17,Store D,Wholesale,0.1,Frank,4198.824,Credit Card,WINTER15,0,REG100612,Cust 2800,49.18,4/20/2025,Wendy
12/8/2024,North,Desk,15,220.3,Store B,Retail,0.15,Diana,2808.825,Debit Card,,0,REG100014,Cust 4548,39.66,12/15/2024,Ryan
6/20/2024,North,Phone,11,303.09,Store D,Wholesale,0.1,Diana,3000.591,Online,SAVE10,0,REG100658,Cust 3864,21.88,6/24/2024,Ryan
10/19/2023,North,Printer,5,112.44,Store D,Retail,0.05,Bob,505.98,Credit Card,,1,REG101165,Cust 8280,7.46,10/23/2023,Ryan
6/30/2024,East,Monitor,14,429.72,Store A,Retail,0.15,Eva,5414.472,Cash,SAVE10,0,REG101222,Cust 3248,45.78,7/5/2024,Eric
2/22/2023,North,Desk,4,85.96,Store A,Retail,0.05,Frank,309.456,Credit Card,,0,REG100567,Cust 1494,32.12,3/3/2023,Ryan
1/15/2025,North,Desk,18,375.83,Store C,Retail,0.15,Carlos,6088.446,Gift Card,,0,REG100912,Cust 6993,15.13,1/23/2025,Ryan
4/1/2025,North,Monitor,4,249.98,Store C,Retail,0.05,Eva,849.932,Debit Card,SAVE10,0,REG100837,Cust 2411,49.08,4/4/2025,Ryan
2/22/2024,West,Monitor,4,36.82,Store C,Wholesale,0.05,Frank,139.916,Credit Card,WINTER15,1,REG100222,Cust 6372,24.86,3/1/2024,Wendy
1/11/2023,North,Desk,6,202.57,Store D,Retail,0.1,Eva,1154.649,Gift Card,FREESHIP,0,REG100249,Cust 2279,24.39,1/14/2023,Ryan
3/11/2025,East,Laptop,6,138.26,Store B,Retail,0.05,Eva,705.126,Online,,1,REG100520,Cust 3696,31.4,3/13/2025,Eric
2/3/2024,North,Laptop,8,143.95,Store B,Retail,0.1,Diana,1036.44,Cash,SAVE10,0,REG101016,Cust 3944,28.09,2/9/2024,Ryan
8/26/2024,East,Printer,20,488.9,Store C,Wholesale,0.2,Eva,8311.3,Gift Card,FREESHIP,0,REG100128,Cust 6486,21.77,9/1/2024,Eric
10/24/2023,South,Desk,5,359.61,Store A,Retail,0.05,Bob,1798.05,Online,FREESHIP,0,REG100615,Cust 6711,41.31,11/3/2023,Sophie
10/18/2023,North,Chair,12,494.15,Store B,Wholesale,0.1,Diana,5040.33,Online,SAVE10,1,REG100092,Cust 1127,18.05,10/20/2023,Ryan
11/4/2024,North,Desk,16,40.73,Store D,Retail,0.15,Alice,651.68,Credit Card,,0,REG100240,Cust 3237,24.72,11/8/2024,Ryan
5/6/2024,South,Printer,20,270.2,Store A,Wholesale,0.2,Diana,5404,Credit Card,WINTER15,0,REG100965,Cust 6859,6.8,5/15/2024,Sophie
9/26/2024,South,Tablet,7,88.87,Store C,Retail,0.1,Alice,622.09,Online,SAVE10,0,REG100333,Cust 1271,8.36,10/1/2024,Sophie
3/22/2025,North,Tablet,5,225.99,Store C,Retail,0.05,Eva,1129.95,Online,SAVE10,1,REG100151,Cust 5750,10.88,3/30/2025,Ryan
2/22/2025,West,Printer,7,178.26,Store C,Retail,0.1,Bob,1060.647,Online,FREESHIP,0,REG101004,Cust 4722,44.91,3/1/2025,Wendy
5/23/2025,East,Printer,9,160.15,Store D,Retail,0.1,Alice,1297.215,Debit Card,,1,REG100812,Cust 3853,29.64,5/28/2025,Eric
1/6/2025,North,Monitor,20,440.32,Store C,Retail,0.2,Alice,8366.08,Debit Card,SAVE10,1,REG101362,Cust 1258,6.17,1/16/2025,Ryan
11/1/2024,South,Phone,15,486.03,Store C,Wholesale,0.15,Alice,7290.45,Debit Card,WINTER15,0,REG100699,Cust 3287,14.9,11/4/2024,Sophie
4/13/2025,South,Laptop,1,163.29,Store B,Retail,0,Diana,163.29,Credit Card,WINTER15,0,REG100816,Cust 7004,21.15,4/22/2025,Sophie
1/18/2025,West,Tablet,1,157.83,Store A,Wholesale,0,Carlos,134.1555,Debit Card,,0,REG100013,Cust 4672,42.82,1/22/2025,Wendy
5/20/2023,North,Desk,4,334.57,Store C,Retail,0.05,Carlos,1137.538,Gift Card,,0,REG101139,Cust 4210,11.49,5/27/2023,Ryan
11/21/2023,West,Chair,10,333.35,Store A,Retail,0.1,Alice,2833.475,Debit Card,FREESHIP,0,REG100343,Cust 7765,39.35,11/26/2023,Wendy
4/18/2023,South,Phone,9,509.44,Store B,Retail,0.1,Eva,3897.216,Credit Card,SAVE10,0,REG101474,Cust 1624,13,4/27/2023,Sophie
9/17/2023,West,Laptop,12,469.44,Store B,Wholesale,0.1,Bob,5633.28,Online,FREESHIP,0,REG100132,Cust 9024,33.3,9/26/2023,Wendy
4/10/2023,North,Chair,11,71.21,Store B,Retail,0.1,Diana,744.1445,Online,,1,REG100176,Cust 3690,44.2,4/14/2023,Ryan
4/25/2024,East,Monitor,19,526.23,Store B,Retail,0.2,Bob,9998.37,Credit Card,WINTER15,0,REG100351,Cust 3509,32.77,5/5/2024,Eric
4/2/2023,North,Phone,11,546.57,Store D,Retail,0.1,Bob,5110.4295,Credit Card,SAVE10,1,REG100977,Cust 5666,24.77,4/4/2023,Ryan
8/21/2023,East,Laptop,3,142.09,Store C,Wholesale,0,Frank,362.3295,Gift Card,WINTER15,0,REG101150,Cust 6453,26.04,8/27/2023,Eric
7/30/2024,West,Printer,12,533.77,Store D,Wholesale,0.15,Alice,5444.454,Cash,SAVE10,0,REG100624,Cust 5912,48.71,8/4/2024,Wendy
4/9/2025,West,Tablet,14,484.38,Store D,Retail,0.15,Frank,6442.254,Debit Card,SAVE10,0,REG100394,Cust 7687,29.24,4/19/2025,Wendy
3/29/2024,East,Monitor,6,509.48,Store B,Wholesale,0.05,Alice,3056.88,Debit Card,WINTER15,0,REG100951,Cust 8931,35.92,4/6/2024,Eric
11/9/2023,East,Printer,3,142.27,Store D,Retail,0,Bob,405.4695,Online,SAVE10,0,REG100297,Cust 2122,32.8,11/15/2023,Eric
1/10/2024,North,Printer,19,219.7,Store A,Retail,0.2,Alice,4174.3,Cash,FREESHIP,0,REG101296,Cust 9365,15.38,1/16/2024,Ryan
1/15/2024,South,Chair,6,291.58,Store B,Wholesale,0.1,Frank,1749.48,Credit Card,FREESHIP,0,REG100655,Cust 3748,30.25,1/17/2024,Sophie
9/20/2023,South,Tablet,17,477.38,Store C,Retail,0.15,Alice,7709.687,Gift Card,FREESHIP,0,REG101442,Cust 4386,35.28,9/27/2023,Sophie
9/11/2024,West,Monitor,8,236.17,Store C,Wholesale,0.1,Frank,1605.956,Cash,WINTER15,0,REG101475,Cust 6593,22.88,9/19/2024,Wendy
2/23/2023,East,Printer,1,109,Store B,Retail,0,Frank,92.65,Cash,WINTER15,1,REG100123,Cust 1499,8.03,2/27/2023,Eric
5/21/2023,East,Tablet,1,418.98,Store B,Retail,0,Carlos,377.082,Gift Card,FREESHIP,0,REG101108,Cust 5659,43.72,5/26/2023,Eric
3/4/2024,West,Tablet,11,97.84,Store B,Retail,0.1,Alice,1022.428,Debit Card,SAVE10,1,REG101170,Cust 2928,45.97,3/12/2024,Wendy
8/19/2023,West,Laptop,15,432.17,Store D,Wholesale,0.15,Frank,5510.1675,Debit Card,WINTER15,0,REG100403,Cust 7620,44.88,8/23/2023,Wendy
7/15/2024,East,Printer,10,325.97,Store D,Retail,0.1,Bob,3259.7,Cash,FREESHIP,1,REG100386,Cust 4770,49.95,7/22/2024,Eric
10/8/2024,South,Laptop,6,48.48,Store D,Retail,0.05,Diana,261.792,Online,,0,REG100717,Cust 4763,6.11,10/13/2024,Sophie
8/5/2023,South,Printer,20,121.14,Store C,Retail,0.2,Bob,2180.52,Credit Card,FREESHIP,0,REG100421,Cust 1237,21.47,8/14/2023,Sophie
3/27/2023,West,Desk,20,332.48,Store B,Wholesale,0.2,Eva,6649.6,Online,SAVE10,1,REG101041,Cust 4209,7.79,3/30/2023,Wendy
5/11/2025,West,Chair,17,162.96,Store A,Wholesale,0.15,Eva,2631.804,Gift Card,FREESHIP,0,REG100015,Cust 7037,8.11,5/17/2025,Wendy
6/30/2023,South,Laptop,2,416.06,Store D,Retail,0,Eva,790.514,Debit Card,SAVE10,0,REG100044,Cust 3298,11.62,7/4/2023,Sophie
12/29/2023,East,Printer,1,180.12,Store A,Wholesale,0,Eva,162.108,Debit Card,,0,REG100211,Cust 3001,27.07,1/7/2024,Eric
12/10/2024,North,Monitor,8,70.79,Store B,Wholesale,0.1,Diana,566.32,Online,,0,REG100583,Cust 1514,46.35,12/14/2024,Ryan
1/11/2024,South,Chair,18,209.75,Store C,Wholesale,0.15,Frank,3209.175,Debit Card,FREESHIP,0,REG101496,Cust 5559,45.93,1/17/2024,Sophie
4/23/2023,West,Chair,17,332.38,Store A,Retail,0.15,Frank,5085.414,Credit Card,SAVE10,1,REG100147,Cust 4734,33.81,5/2/2023,Wendy
7/25/2024,South,Tablet,3,417.58,Store D,Retail,0,Frank,1190.103,Gift Card,SAVE10,0,REG100402,Cust 8756,43.42,7/31/2024,Sophie
7/31/2023,West,Laptop,5,508.05,Store D,Retail,0.05,Frank,2540.25,Credit Card,WINTER15,1,REG100502,Cust 9742,35.63,8/9/2023,Wendy
6/30/2025,North,Chair,2,160.96,Store C,Wholesale,0,Eva,289.728,Gift Card,WINTER15,0,REG101158,Cust 1003,44.97,7/5/2025,Ryan
2/21/2025,West,Chair,3,264.08,Store A,Retail,0,Diana,713.016,Online,,0,REG100796,Cust 8530,25.39,3/2/2025,Wendy
11/10/2024,East,Tablet,15,469.52,Store C,Wholesale,0.15,Alice,7042.8,Credit Card,FREESHIP,0,REG100407,Cust 7369,35.6,11/17/2024,Eric
3/4/2024,North,Desk,2,239.04,Store A,Wholesale,0,Bob,478.08,Debit Card,SAVE10,1,REG100984,Cust 3396,43.84,3/11/2024,Ryan
3/8/2025,South,Monitor,1,247.04,Store C,Wholesale,0,Bob,247.04,Credit Card,FREESHIP,0,REG100784,Cust 7195,26.86,3/13/2025,Sophie
9/4/2024,West,Tablet,9,228.98,Store D,Retail,0.1,Frank,1751.697,Online,WINTER15,0,REG101174,Cust 2611,45.79,9/8/2024,Wendy
3/23/2024,West,Monitor,4,56.06,Store D,Retail,0.05,Carlos,190.604,Cash,SAVE10,0,REG100553,Cust 6888,10.77,4/1/2024,Wendy
8/7/2023,West,Printer,5,596.97,Store A,Retail,0.05,Eva,2984.85,Cash,SAVE10,0,REG100772,Cust 3767,14.43,8/14/2023,Wendy
7/4/2024,East,Tablet,5,225.69,Store A,Wholesale,0.05,Carlos,959.1825,Gift Card,WINTER15,0,REG101225,Cust 3990,47.6,7/12/2024,Eric
3/2/2025,South,Phone,12,34.24,Store C,Retail,0.1,Frank,369.792,Cash,,0,REG100253,Cust 2823,17.64,3/10/2025,Sophie
3/19/2024,East,Laptop,16,90.3,Store C,Wholesale,0.15,Diana,1372.56,Online,WINTER15,0,REG101338,Cust 6499,25.25,3/24/2024,Eric
4/2/2025,North,Printer,12,413.45,Store D,Retail,0.1,Bob,4217.19,Cash,FREESHIP,0,REG100223,Cust 6109,23.25,4/10/2025,Ryan
2/15/2025,South,Phone,1,92.72,Store C,Wholesale,0,Eva,78.812,Debit Card,WINTER15,0,REG101268,Cust 4723,48.46,2/19/2025,Sophie
1/4/2023,West,Monitor,15,439.89,Store D,Retail,0.15,Diana,5608.5975,Online,FREESHIP,0,REG101397,Cust 1081,49.71,1/8/2023,Wendy
5/6/2025,North,Laptop,15,281.73,Store B,Wholesale,0.15,Bob,3803.355,Credit Card,WINTER15,0,REG100722,Cust 3368,36.87,5/10/2025,Ryan
11/26/2023,North,Chair,9,440.48,Store A,Retail,0.1,Diana,3369.672,Gift Card,WINTER15,0,REG100847,Cust 8799,32.94,12/1/2023,Ryan
2/7/2023,North,Monitor,3,506.33,Store B,Retail,0,Frank,1291.1415,Debit Card,FREESHIP,0,REG100264,Cust 4127,25.71,2/14/2023,Ryan
2/10/2024,West,Desk,9,130.57,Store C,Wholesale,0.1,Eva,1057.617,Cash,WINTER15,0,REG101317,Cust 3781,37.14,2/17/2024,Wendy
4/3/2024,West,Monitor,4,563.06,Store D,Retail,0.05,Bob,2139.628,Cash,WINTER15,0,REG100844,Cust 2788,19.5,4/7/2024,Wendy
6/5/2024,North,Monitor,7,14.34,Store D,Retail,0.1,Alice,95.361,Debit Card,WINTER15,0,REG101239,Cust 4826,19.45,6/8/2024,Ryan
2/15/2023,West,Printer,19,414.31,Store A,Retail,0.2,Eva,7084.701,Credit Card,SAVE10,0,REG100676,Cust 1944,17.43,2/19/2023,Wendy
6/24/2024,North,Chair,16,462.86,Store D,Retail,0.15,Bob,7035.472,Cash,,1,REG101097,Cust 1914,17.43,6/26/2024,Ryan
6/23/2025,East,Phone,20,243.47,Store A,Wholesale,0.2,Alice,4625.93,Gift Card,FREESHIP,1,REG101447,Cust 4250,32.28,7/3/2025,Eric
6/9/2024,East,Tablet,11,185.59,Store B,Retail,0.1,Carlos,1837.341,Gift Card,,0,REG101448,Cust 5351,45.19,6/18/2024,Eric
4/17/2023,South,Laptop,20,353.97,Store B,Wholesale,0.2,Frank,6017.49,Cash,WINTER15,1,REG100546,Cust 7637,22.05,4/20/2023,Sophie
1/25/2024,East,Desk,5,215.6,Store C,Wholesale,0.05,Frank,1078,Online,WINTER15,0,REG100114,Cust 8641,28.36,2/4/2024,Eric
1/22/2024,East,Printer,11,277.95,Store A,Retail,0.1,Frank,2904.5775,Gift Card,WINTER15,0,REG100764,Cust 2835,44.04,1/29/2024,Eric
6/25/2023,South,Desk,12,192.03,Store B,Wholesale,0.1,Carlos,2073.924,Credit Card,,0,REG100625,Cust 4446,41.08,7/3/2023,Sophie
2/26/2024,West,Monitor,11,389.84,Store D,Wholesale,0.1,Alice,4288.24,Gift Card,SAVE10,1,REG100452,Cust 4164,10.24,2/29/2024,Wendy
3/8/2025,South,Monitor,16,217.74,Store A,Wholesale,0.15,Frank,2961.264,Cash,FREESHIP,1,REG100895,Cust 2840,25.11,3/15/2025,Sophie
12/24/2024,South,Chair,8,405.96,Store A,Wholesale,0.1,Carlos,3085.296,Credit Card,WINTER15,0,REG100067,Cust 8287,41.27,12/31/2024,Sophie
3/14/2024,East,Desk,16,544.91,Store B,Retail,0.15,Frank,7846.704,Credit Card,FREESHIP,0,REG101111,Cust 8378,39.26,3/21/2024,Eric
8/18/2024,North,Tablet,19,181.18,Store A,Wholesale,0.2,Carlos,3270.299,Credit Card,FREESHIP,0,REG100923,Cust 9361,12.04,8/26/2024,Ryan
