ID,Sex_Female,Job_grade,Time_in_grade,Pay_rate
79,False,5,3.5,1376.93
80,True,3,1.5,825
81,True,3,1.5,848.1
82,True,1,0.79,681.93
83,False,7,5,1240.41
84,False,7,5,1518.75
85,True,4,0.13,729.72
86,False,8,3.29,1500
87,False,5,0.38,1005.83
88,True,2,1.5,813.48
89,False,3,0.5,1001
90,True,4,0.13,894.24
91,True,4,0.5,825
92,True,5,1.5,892.5
93,True,2,2.5,687
94,True,3,0.5,796.17
95,True,2,1.21,702
96,True,1,0.5,788.04
97,False,7,1.5,1110
98,True,1,4.5,778.86
99,True,2,2.5,795
100,True,2,0.13,780.24
101,False,3,2.5,1019.24
102,False,8,4.5,1228.86
103,True,5,0.5,810
104,True,1,0.21,630
105,True,4,0.5,729.72
106,False,7,0.5,1065
107,True,3,1.5,816
108,False,7,5,1171.5
109,True,2,1.29,723.48
110,False,6,2.96,957.72
111,False,8,5,1275
112,True,6,0.5,1294.24
113,True,1,1.04,602.31
114,True,7,2.5,1503.86
115,False,6,0.5,1135.38
116,True,3,1.5,840
117,True,2,2.5,756
118,True,2,1.5,770.19
119,True,2,0.5,750
120,True,2,2.5,687
121,True,4,0.5,900
122,True,2,1.04,780
123,False,7,5,1427.91
124,False,8,5,1275
125,True,5,0.5,911.55
126,False,7,0.54,1174.02
127,True,2,1.79,709.65
128,False,7,4.5,1263.48
129,True,2,1.21,787.5
130,True,2,0.5,807.72
131,False,7,5,1338.48
132,True,4,2.21,807.69
133,False,7,3.5,1230
134,True,7,0.5,1524.29
135,True,1,1.13,588.48
136,True,5,0.79,905.79
137,False,8,5,1551.93
138,False,5,5,1376.93
139,True,2,1.21,801.93
140,True,1,0.5,612
141,True,6,1.5,1401.55
142,True,4,1.5,931.74
143,False,7,1.5,1190.79
144,True,4,0.13,729.72
145,True,8,0.5,1865
146,True,3,1.5,810
147,True,1,1.5,856.17
148,False,7,3.5,1269.24
149,True,2,0.79,624
150,True,4,0.5,865.41
151,True,1,0.88,697.86
152,True,7,1.96,1737.5
153,True,6,2.5,1390
154,True,1,1.5,818.1
155,True,2,2.5,687
156,True,7,1.5,1567.31
157,False,4,0.5,929.72
158,False,8,1.5,1350
159,False,8,5,1384.62
160,True,5,1.5,866.85
161,False,7,3.71,1128
162,True,6,5,1481.74
163,False,8,5,1396.17
164,True,5,0.5,830.79
165,True,2,0.04,692.31
166,False,7,4.5,1130.76
167,True,3,0.13,836.55
168,True,2,0.5,735
169,True,5,1.5,1073.1
170,True,2,0.71,709.62
171,True,4,0.5,923.1
172,True,6,0.88,1600
173,False,4,1.5,1094
174,True,2,1.5,804
175,True,1,0.79,590.19
176,True,6,0.5,1313.86
177,True,1,1.04,588.48
178,True,5,0.5,780
179,True,1,0.29,623.1
180,True,1,0.71,717
181,True,4,0.71,761.55
182,False,8,2.5,1153.83
183,True,2,1.54,778.86
184,True,3,0.5,770.55
185,False,8,1.5,1350
186,True,7,0.5,1860.08
187,True,2,0.79,616.17
188,False,8,5,1427.91
189,False,5,1.5,1012.73
190,False,5,0.54,939.62
191,True,2,0.21,634.62
192,True,5,0.5,817.26
193,True,2,1.46,713.1
194,True,6,1.5,1351.93
195,False,6,5,1375.98
196,True,1,4.5,630
197,True,5,1.5,901.14
198,True,1,0.79,578.76
199,True,5,1.54,951.93
200,False,6,0.5,1125
201,True,2,0.5,663.48
202,False,7,5,1390.41
203,True,7,0.71,1538.48
204,True,2,0.21,720
205,False,7,4.54,960
206,True,2,2.29,755.76
207,True,1,0.88,597.12
208,True,2,0.54,623.1
209,True,2,2.5,756
210,False,1,3.5,1004
211,False,7,5,1157.91
212,True,7,2.5,1548.1
213,True,7,0.5,1550
214,True,5,3.5,858
215,False,6,2.5,1003.86
216,True,7,5,1890.41
217,True,5,1.5,894.24
218,False,7,0.79,951.93
219,False,7,0.5,1200
220,True,3,0.5,842.31
221,False,7,2.5,1130.76
222,False,5,2.5,1190
223,True,7,3.5,1573.1
224,True,2,0.71,690
225,True,5,4.96,960.6
226,True,2,0.79,761.55
227,False,8,0.5,1419.24
228,False,7,5,1257.72
229,True,3,1.5,900
230,False,3,1.5,1004
231,True,6,0.38,1496.17
232,True,5,2.5,931.74
233,False,3,0.5,1019
234,True,7,2.5,1555.76
235,True,3,0.5,764.43
236,True,6,1.5,1478.86
237,True,2,0.5,690
238,False,6,0.5,1182.72
239,True,5,0.21,836.55
240,True,5,0.5,928.86
241,True,5,1.5,835.11
242,True,3,1.5,886.17
243,False,5,0.5,1005.86
244,True,6,0.5,1328.86
245,False,7,2.5,1070.22
246,True,4,0.96,729.72
247,True,4,0.5,761.55
248,True,7,0.5,1552.88
249,True,6,3.29,1588.48
250,True,7,1.29,1480.79
251,True,3,5,950.79
252,True,1,0.5,605.79
253,True,5,0.5,805.86
254,True,2,1.21,720
255,True,6,0.5,1380.79
256,True,7,2.5,1538.45
