TransactionID,Team,GameDate,GameType,Section,ItemCategory,ItemsPurchased,UnitPrice,TotalSpend,WaitTime_minutes,CustomerType,PaymentMethod,ConcessionStandID,StaffExperience_years,GameAttendance,DayOfWeek
TXN01031,Philadelphia Flyers,4/19/2026,Regular Season,General,Food,1,13.99,5.22,9.2,Single-Game,Credit Card,Stand 2,0.1,18824,Saturday
TXN01032,Pittsburgh Penguins,11/6/2025,Regular Season,General,Merchandise,1,39.12,33.47,8,Single-Game,Credit Card,Stand 3,7.3,17942,Saturday
TXN01033,Pittsburgh Penguins,10/11/2025,Regular Season,General,Food,2,9.87,20.26,3.4,Single-Game,Credit Card,Stand 2,0.5,18136,Friday
TXN01034,Pittsburgh Penguins,1/4/2026,Regular Season,Club,Beverage,2,12.27,24.59,4.5,Single-Game,Mobile Pay,Stand 4,11,17007,Saturday
TXN01035,Pittsburgh Penguins,2/12/2026,Regular Season,Club,Food,3,15.11,38.34,3.1,Single-Game,Mobile Pay,Stand 4,3.1,19290,Thursday
TXN01036,Pittsburgh Penguins,10/25/2025,Regular Season,Club,Beverage,2,10.9,21.65,4,Season Ticket Holder,Cash,Stand 3,9.1,18084,Saturday
TXN01037,Philadelphia Flyers,4/20/2026,Regular Season,Suite,Beverage,1,17.6,11.27,6.8,Season Ticket Holder,Credit Card,Stand 1,13.7,18614,Wednesday
TXN01038,Philadelphia Flyers,2/8/2026,Regular Season,General,Beverage,1,9.46,7.96,2.2,Single-Game,Credit Card,Stand 1,13.6,18434,Wednesday
TXN01039,Pittsburgh Penguins,12/30/2025,Regular Season,General,Beverage,1,10.43,14.97,8.4,Single-Game,Credit Card,Stand 4,5.4,18419,Sunday
TXN01040,Philadelphia Flyers,10/8/2025,Regular Season,Suite,Merchandise,3,25.4,112.54,1,Single-Game,Credit Card,Stand 2,9,19344,Friday
TXN01041,Pittsburgh Penguins,2/15/2026,Playoff,General,Beverage,1,9.54,20.1,14.9,Single-Game,Mobile Pay,Stand 1,8.2,18226,Friday
TXN01042,Philadelphia Flyers,11/8/2025,Regular Season,General,Merchandise,1,41,54.5,6.6,Single-Game,Credit Card,Stand 3,10.9,19101,Monday
TXN01043,Philadelphia Flyers,10/21/2025,Playoff,Club,Merchandise,1,27.14,35.98,15.5,Single-Game,Credit Card,Stand 1,4.7,17855,Friday
TXN01044,Philadelphia Flyers,2/16/2026,Regular Season,General,Beverage,2,11.42,17.71,8.4,Season Ticket Holder,Cash,Stand 4,14.2,18990,Monday
TXN01045,Philadelphia Flyers,4/9/2026,Regular Season,General,Food,2,10.63,21.24,5.3,Single-Game,Mobile Pay,Stand 3,13.3,18216,Friday
TXN01046,Philadelphia Flyers,4/19/2026,Regular Season,General,Food,2,7.95,8.49,3.9,Season Ticket Holder,Cash,Stand 1,5.1,18213,Friday
TXN01047,Philadelphia Flyers,12/14/2025,Playoff,General,Merchandise,1,21.51,36.91,19.5,Season Ticket Holder,Cash,Stand 2,7.8,18839,Thursday
TXN01048,Philadelphia Flyers,12/25/2025,Regular Season,General,Food,1,9.36,5,5.6,Single-Game,Credit Card,Stand 3,12.6,18769,Saturday
TXN01049,Philadelphia Flyers,3/23/2026,Regular Season,Club,Food,1,12.93,5,6.5,Season Ticket Holder,Cash,Stand 4,10.4,18483,Saturday
TXN01050,Pittsburgh Penguins,3/8/2026,Regular Season,General,Beverage,1,10.46,15.39,9.5,Season Ticket Holder,Credit Card,Stand 4,6.3,17966,Friday
TXN01051,Philadelphia Flyers,12/2/2025,Regular Season,General,Food,1,9.99,5,9,Season Ticket Holder,Credit Card,Stand 3,5.6,19283,Friday
TXN01052,Philadelphia Flyers,4/13/2026,Regular Season,Club,Beverage,1,10.75,5,1,Season Ticket Holder,Credit Card,Stand 3,14.3,19440,Saturday
TXN01053,Pittsburgh Penguins,1/1/2026,Playoff,General,Beverage,2,12.06,28.16,11.7,Single-Game,Cash,Stand 3,12.1,16915,Saturday
TXN01054,Philadelphia Flyers,2/17/2026,Regular Season,Club,Beverage,2,12.45,23.17,7.8,Season Ticket Holder,Cash,Stand 4,9.7,18484,Tuesday
TXN01055,Pittsburgh Penguins,11/15/2025,Regular Season,Club,Beverage,3,15.54,41.79,1,Single-Game,Credit Card,Stand 1,12.8,18650,Thursday
TXN01056,Pittsburgh Penguins,11/4/2025,Regular Season,General,Food,2,12.6,25.59,8.1,Season Ticket Holder,Credit Card,Stand 4,3.6,18973,Saturday
TXN01057,Pittsburgh Penguins,2/15/2026,Regular Season,Club,Beverage,1,12.81,13.24,4.7,Single-Game,Cash,Stand 2,10.9,17929,Wednesday
TXN01058,Pittsburgh Penguins,10/8/2025,Regular Season,General,Food,3,11.74,30.72,7.2,Single-Game,Cash,Stand 3,12.6,18377,Sunday
TXN01059,Philadelphia Flyers,1/16/2026,Regular Season,General,Food,3,8.88,25.54,3.7,Single-Game,Credit Card,Stand 2,7.1,18763,Friday
TXN01060,Pittsburgh Penguins,1/14/2026,Regular Season,Club,Beverage,2,9.53,21.09,9.8,Single-Game,Mobile Pay,Stand 3,9.7,17022,Sunday
TXN01061,Philadelphia Flyers,3/13/2026,Regular Season,Club,Food,1,11.4,11.01,3.7,Season Ticket Holder,Mobile Pay,Stand 1,10.3,18863,Friday
TXN01062,Pittsburgh Penguins,11/19/2025,Regular Season,General,Beverage,2,9.56,20.59,8.2,Season Ticket Holder,Mobile Pay,Stand 4,11.9,18362,Friday
TXN01063,Pittsburgh Penguins,3/4/2026,Playoff,General,Food,1,10.6,17.9,17.5,Season Ticket Holder,Credit Card,Stand 2,8.4,17260,Wednesday
TXN01064,Philadelphia Flyers,1/10/2026,Regular Season,Club,Food,2,11.58,24.38,2.6,Single-Game,Mobile Pay,Stand 2,4.3,19095,Wednesday
TXN01065,Pittsburgh Penguins,2/11/2026,Regular Season,General,Food,1,10.11,14.87,9.9,Single-Game,Mobile Pay,Stand 2,8.6,18263,Thursday
TXN01066,Philadelphia Flyers,4/10/2026,Regular Season,Suite,Beverage,2,18.37,37.89,5.2,Single-Game,Credit Card,Stand 4,13.9,18053,Wednesday
TXN01067,Pittsburgh Penguins,11/26/2025,Regular Season,General,Merchandise,2,34.05,58.4,7.4,Season Ticket Holder,Cash,Stand 2,12.3,18643,Saturday
TXN01068,Pittsburgh Penguins,12/2/2025,Regular Season,General,Beverage,1,13.07,20.73,9,Single-Game,Mobile Pay,Stand 4,13.8,18721,Sunday
TXN01069,Philadelphia Flyers,11/6/2025,Regular Season,General,Beverage,2,10.35,11.03,1.8,Single-Game,Cash,Stand 1,13.1,16870,Friday
TXN01070,Philadelphia Flyers,4/19/2026,Regular Season,General,Food,1,7.04,5,7.4,Single-Game,Mobile Pay,Stand 1,2.3,16986,Saturday
TXN01071,Pittsburgh Penguins,2/25/2026,Regular Season,General,Food,1,13.31,20.25,14.9,Single-Game,Credit Card,Stand 3,14.3,17024,Saturday
TXN01072,Pittsburgh Penguins,2/1/2026,Playoff,Club,Food,2,12.67,27.13,14.9,Single-Game,Cash,Stand 3,5.6,19003,Sunday
TXN01073,Philadelphia Flyers,3/12/2026,Regular Season,General,Food,1,12.49,6.52,6.9,Single-Game,Cash,Stand 1,2.2,18684,Wednesday
TXN01074,Philadelphia Flyers,1/29/2026,Regular Season,General,Food,1,13.1,5,2.3,Season Ticket Holder,Mobile Pay,Stand 1,13.7,19557,Tuesday
TXN01075,Pittsburgh Penguins,3/5/2026,Regular Season,Club,Food,3,11.4,31.31,1,Single-Game,Credit Card,Stand 1,11.1,17326,Wednesday
TXN01076,Pittsburgh Penguins,1/30/2026,Regular Season,General,Food,3,7.61,22.3,1.9,Season Ticket Holder,Credit Card,Stand 2,2.2,17813,Saturday
TXN01077,Pittsburgh Penguins,12/29/2025,Regular Season,General,Merchandise,1,22.43,22.77,6.7,Season Ticket Holder,Credit Card,Stand 2,14.4,17031,Monday
TXN01078,Pittsburgh Penguins,4/21/2026,Regular Season,General,Beverage,1,12.7,20.16,15.7,Single-Game,Cash,Stand 3,11.8,18091,Saturday
TXN01079,Philadelphia Flyers,11/21/2025,Playoff,Club,Food,1,14.1,22.16,10.9,Season Ticket Holder,Credit Card,Stand 4,9.5,19068,Saturday
TXN01080,Pittsburgh Penguins,2/4/2026,Regular Season,General,Beverage,1,11.13,13.35,9.7,Single-Game,Credit Card,Stand 2,14.8,18899,Wednesday
TXN01081,Philadelphia Flyers,1/20/2026,Regular Season,General,Merchandise,1,26.14,22.97,3.5,Single-Game,Credit Card,Stand 1,2.2,18486,Saturday
TXN01082,Philadelphia Flyers,11/30/2025,Regular Season,General,Food,1,13.36,5,4.4,Season Ticket Holder,Credit Card,Stand 4,9.8,19336,Wednesday
TXN01083,Pittsburgh Penguins,11/24/2025,Regular Season,General,Food,1,9.36,14.88,7.5,Single-Game,Credit Card,Stand 3,11.7,17834,Friday
TXN01084,Philadelphia Flyers,11/7/2025,Playoff,General,Beverage,1,14.97,27.09,14.5,Season Ticket Holder,Credit Card,Stand 4,6.3,17520,Sunday
TXN01085,Philadelphia Flyers,10/13/2025,Regular Season,General,Food,2,11.8,19.9,5.9,Single-Game,Credit Card,Stand 1,8.4,17969,Saturday
TXN01086,Pittsburgh Penguins,3/13/2026,Regular Season,General,Beverage,2,12.58,25.27,6,Single-Game,Mobile Pay,Stand 3,10.1,17612,Friday
TXN01087,Pittsburgh Penguins,1/8/2026,Playoff,Club,Beverage,2,15.56,35.94,16.3,Season Ticket Holder,Cash,Stand 2,9,18832,Saturday
TXN01088,Philadelphia Flyers,3/5/2026,Regular Season,General,Beverage,1,12.03,5,1.5,Season Ticket Holder,Credit Card,Stand 3,8.5,17388,Thursday
TXN01089,Pittsburgh Penguins,10/27/2025,Regular Season,General,Food,1,8.6,10.58,4.7,Season Ticket Holder,Credit Card,Stand 4,3.5,17605,Tuesday
TXN01090,Philadelphia Flyers,11/19/2025,Playoff,General,Food,1,7.98,5.44,20.1,Season Ticket Holder,Credit Card,Stand 3,6.7,18350,Saturday
TXN01091,Pittsburgh Penguins,12/8/2025,Playoff,General,Beverage,2,14.35,35.54,11.6,Season Ticket Holder,Credit Card,Stand 3,12.6,16788,Sunday
TXN01092,Pittsburgh Penguins,11/1/2025,Playoff,General,Beverage,1,10.91,21.82,12.4,Single-Game,Credit Card,Stand 4,9.5,18544,Friday
TXN01093,Philadelphia Flyers,12/30/2025,Regular Season,Suite,Merchandise,2,40.57,119.13,5.2,Season Ticket Holder,Mobile Pay,Stand 4,5.9,17347,Wednesday
TXN01094,Pittsburgh Penguins,1/29/2026,Regular Season,General,Beverage,1,12.08,15.31,7.5,Single-Game,Mobile Pay,Stand 4,4.2,17103,Sunday
TXN01095,Philadelphia Flyers,11/4/2025,Regular Season,General,Food,1,12.07,5,1.4,Season Ticket Holder,Credit Card,Stand 2,2.4,18886,Tuesday
TXN01096,Philadelphia Flyers,11/14/2025,Playoff,General,Beverage,2,12.44,32.33,18.1,Single-Game,Cash,Stand 2,9.2,18438,Friday
TXN01097,Pittsburgh Penguins,4/15/2026,Regular Season,General,Merchandise,1,43.27,34.06,9.2,Season Ticket Holder,Credit Card,Stand 1,10,18328,Friday
TXN01098,Pittsburgh Penguins,2/3/2026,Regular Season,Club,Food,1,10.68,13.91,1.9,Single-Game,Mobile Pay,Stand 2,5.5,18895,Sunday
TXN01099,Philadelphia Flyers,12/2/2025,Regular Season,General,Beverage,2,8.03,10.29,1,Single-Game,Mobile Pay,Stand 4,0.9,19287,Sunday
TXN01100,Philadelphia Flyers,1/8/2026,Regular Season,Club,Food,1,8.06,5,10.2,Single-Game,Credit Card,Stand 2,4.4,19276,Saturday
TXN01101,Philadelphia Flyers,10/9/2025,Playoff,General,Beverage,1,10.58,16.38,13.2,Single-Game,Credit Card,Stand 4,2.9,20000,Wednesday
TXN01102,Philadelphia Flyers,1/14/2026,Regular Season,General,Beverage,1,9.91,5,8.3,Season Ticket Holder,Cash,Stand 2,10.7,17397,Friday
TXN01103,Pittsburgh Penguins,10/10/2025,Regular Season,General,Food,2,12.03,22.58,6,Season Ticket Holder,Credit Card,Stand 2,14.4,19183,Friday
TXN01104,Philadelphia Flyers,4/1/2026,Playoff,General,Food,3,7.25,35.56,16,Single-Game,Credit Card,Stand 2,8.1,19207,Tuesday
TXN01105,Philadelphia Flyers,12/3/2025,Regular Season,Club,Food,1,11.84,5,6.1,Season Ticket Holder,Credit Card,Stand 1,4.1,17930,Sunday
TXN01106,Philadelphia Flyers,11/11/2025,Regular Season,Club,Food,2,16.09,38.15,9.6,Single-Game,Credit Card,Stand 1,11.2,19767,Sunday
TXN01107,Pittsburgh Penguins,10/16/2025,Regular Season,Club,Beverage,1,11.11,13.42,5.5,Season Ticket Holder,Mobile Pay,Stand 2,4.3,16652,Saturday
TXN01108,Philadelphia Flyers,3/31/2026,Regular Season,General,Food,1,7.9,5,8.2,Single-Game,Credit Card,Stand 2,2.1,18591,Wednesday
TXN01109,Pittsburgh Penguins,10/21/2025,Regular Season,Club,Food,2,9.09,14.81,5.2,Season Ticket Holder,Cash,Stand 1,2.8,18578,Wednesday
TXN01110,Philadelphia Flyers,1/20/2026,Playoff,General,Food,1,8.82,11.38,17.7,Single-Game,Credit Card,Stand 2,3.3,18076,Friday
TXN01111,Pittsburgh Penguins,3/23/2026,Regular Season,General,Beverage,1,12.05,17.21,7,Season Ticket Holder,Cash,Stand 1,1.6,19866,Sunday
TXN01112,Pittsburgh Penguins,4/6/2026,Regular Season,Club,Beverage,3,9.88,28.9,5.4,Season Ticket Holder,Credit Card,Stand 4,8.7,19180,Wednesday
TXN01113,Pittsburgh Penguins,1/26/2026,Regular Season,General,Merchandise,1,27.51,24.88,8.5,Season Ticket Holder,Cash,Stand 2,8.8,18291,Saturday
TXN01114,Pittsburgh Penguins,4/7/2026,Regular Season,General,Food,2,10.53,24.17,3.8,Season Ticket Holder,Mobile Pay,Stand 3,11.5,19000,Saturday
TXN01115,Pittsburgh Penguins,3/3/2026,Regular Season,General,Beverage,1,10.47,21.06,7.2,Season Ticket Holder,Credit Card,Stand 4,11.5,17126,Friday
TXN01116,Pittsburgh Penguins,2/7/2026,Regular Season,General,Beverage,1,10.91,16.15,7.6,Single-Game,Cash,Stand 1,7.4,18600,Friday
TXN01117,Pittsburgh Penguins,1/1/2026,Regular Season,General,Food,1,13.28,17,3.7,Single-Game,Cash,Stand 3,10.3,18396,Thursday
TXN01118,Philadelphia Flyers,12/10/2025,Regular Season,Club,Beverage,2,11.88,21.95,6.8,Single-Game,Credit Card,Stand 1,8.9,18730,Sunday
TXN01119,Pittsburgh Penguins,4/9/2026,Regular Season,General,Food,1,11.55,17.07,2.1,Season Ticket Holder,Credit Card,Stand 4,1.4,17355,Thursday
TXN01120,Pittsburgh Penguins,4/16/2026,Regular Season,General,Beverage,1,10.54,16.41,10.8,Single-Game,Cash,Stand 3,2.1,19355,Wednesday
TXN01121,Pittsburgh Penguins,1/19/2026,Regular Season,Club,Food,2,14.09,27.33,10.1,Single-Game,Cash,Stand 3,10.2,19727,Wednesday
TXN01122,Pittsburgh Penguins,11/11/2025,Regular Season,General,Merchandise,3,27.91,64.53,7.2,Single-Game,Credit Card,Stand 4,11.3,16776,Saturday
TXN01123,Pittsburgh Penguins,12/1/2025,Regular Season,General,Merchandise,1,44.1,36.09,10.4,Season Ticket Holder,Mobile Pay,Stand 4,8.3,19257,Saturday
TXN01124,Philadelphia Flyers,4/3/2026,Regular Season,Club,Food,1,9.96,5,3.5,Season Ticket Holder,Cash,Stand 4,14.9,19118,Saturday
TXN01125,Pittsburgh Penguins,3/17/2026,Regular Season,General,Beverage,1,8.22,15.42,4.2,Single-Game,Credit Card,Stand 1,14.6,17237,Saturday
TXN01126,Philadelphia Flyers,4/10/2026,Playoff,General,Merchandise,1,30.3,43.76,20.3,Season Ticket Holder,Credit Card,Stand 1,4.3,20000,Wednesday
TXN01127,Pittsburgh Penguins,12/9/2025,Regular Season,Club,Beverage,1,16.81,20.95,8,Season Ticket Holder,Credit Card,Stand 1,9.2,19520,Friday
TXN01128,Pittsburgh Penguins,3/1/2026,Regular Season,General,Beverage,1,14.03,17.68,6.4,Season Ticket Holder,Credit Card,Stand 3,5.5,17586,Thursday
TXN01129,Pittsburgh Penguins,2/2/2026,Regular Season,Club,Food,2,15.65,29.95,9.3,Season Ticket Holder,Cash,Stand 2,4.1,17841,Wednesday
TXN01130,Philadelphia Flyers,1/26/2026,Regular Season,General,Food,1,12.96,7.17,1.9,Single-Game,Credit Card,Stand 3,6.2,16939,Thursday
TXN01131,Philadelphia Flyers,4/11/2026,Regular Season,General,Beverage,2,14.47,28.35,1,Single-Game,Credit Card,Stand 2,12.2,18654,Friday
TXN01132,Pittsburgh Penguins,12/8/2025,Playoff,General,Food,1,11.44,16.54,13.8,Season Ticket Holder,Credit Card,Stand 4,11.1,18065,Wednesday
TXN01133,Philadelphia Flyers,10/17/2025,Regular Season,General,Beverage,3,9.56,33.6,6,Season Ticket Holder,Cash,Stand 4,1.5,19056,Wednesday
TXN01134,Pittsburgh Penguins,10/22/2025,Regular Season,General,Beverage,2,9.06,20.29,7.7,Season Ticket Holder,Credit Card,Stand 2,6.6,20000,Thursday
TXN01135,Pittsburgh Penguins,10/20/2025,Regular Season,Club,Food,2,13.14,25.64,7.3,Single-Game,Mobile Pay,Stand 3,14.3,16735,Tuesday
TXN01136,Pittsburgh Penguins,1/11/2026,Regular Season,Club,Food,2,9.81,20.33,3.8,Single-Game,Credit Card,Stand 4,6.8,16573,Saturday
TXN01137,Pittsburgh Penguins,11/13/2025,Regular Season,Suite,Food,1,16.41,22.57,10.6,Season Ticket Holder,Cash,Stand 4,2.3,18972,Sunday
TXN01138,Philadelphia Flyers,11/4/2025,Regular Season,General,Beverage,1,8.64,5,6.5,Single-Game,Mobile Pay,Stand 1,13.7,19906,Saturday
TXN01139,Philadelphia Flyers,1/10/2026,Regular Season,Club,Beverage,1,13.02,7.66,3.8,Season Ticket Holder,Credit Card,Stand 1,11.8,17460,Friday
TXN01140,Pittsburgh Penguins,3/5/2026,Regular Season,Club,Beverage,2,15.22,26.59,1.7,Single-Game,Credit Card,Stand 2,3.1,18743,Saturday
TXN01141,Pittsburgh Penguins,3/26/2026,Regular Season,General,Food,2,11.85,24.7,1.6,Season Ticket Holder,Credit Card,Stand 2,14,17196,Friday
TXN01142,Philadelphia Flyers,2/2/2026,Playoff,General,Beverage,1,12.65,14.97,11.4,Season Ticket Holder,Credit Card,Stand 3,12.4,19831,Friday
TXN01143,Philadelphia Flyers,12/25/2025,Playoff,Suite,Beverage,2,14.16,45.01,13.2,Season Ticket Holder,Credit Card,Stand 4,6.6,18455,Thursday
TXN01144,Pittsburgh Penguins,11/23/2025,Regular Season,General,Food,1,12.36,15.61,4.6,Single-Game,Credit Card,Stand 3,4.6,16038,Thursday
TXN01145,Philadelphia Flyers,4/21/2026,Regular Season,General,Beverage,1,10.37,18.66,7.3,Single-Game,Mobile Pay,Stand 1,0.7,19335,Saturday
TXN01146,Pittsburgh Penguins,3/10/2026,Regular Season,General,Merchandise,1,44.23,34.38,4.7,Season Ticket Holder,Mobile Pay,Stand 1,7,17412,Friday
TXN01147,Pittsburgh Penguins,4/16/2026,Regular Season,General,Food,2,8.52,19.47,8.8,Single-Game,Credit Card,Stand 2,12.5,18146,Tuesday
TXN01148,Philadelphia Flyers,1/10/2026,Regular Season,General,Beverage,2,14.84,32.34,1,Season Ticket Holder,Credit Card,Stand 4,4.6,17889,Saturday
TXN01149,Pittsburgh Penguins,10/23/2025,Regular Season,Club,Beverage,1,12.33,16.71,5.6,Single-Game,Mobile Pay,Stand 4,9.3,16832,Thursday
TXN01150,Pittsburgh Penguins,12/23/2025,Regular Season,General,Food,1,9.29,12.56,8.8,Single-Game,Credit Card,Stand 2,6.9,17072,Wednesday
TXN01151,Pittsburgh Penguins,11/23/2025,Regular Season,General,Food,2,8.56,19.55,1.6,Single-Game,Mobile Pay,Stand 1,12.5,17923,Thursday
TXN01152,Pittsburgh Penguins,3/2/2026,Playoff,Club,Merchandise,1,49.62,48.61,12.1,Season Ticket Holder,Credit Card,Stand 4,6,19002,Saturday
TXN01153,Philadelphia Flyers,4/16/2026,Playoff,General,Beverage,1,13.26,12.58,21.9,Season Ticket Holder,Cash,Stand 2,10.9,20000,Saturday
TXN01154,Pittsburgh Penguins,3/9/2026,Regular Season,General,Merchandise,1,27.83,23.97,2.9,Season Ticket Holder,Credit Card,Stand 4,9.3,18370,Saturday
TXN01155,Philadelphia Flyers,3/21/2026,Regular Season,General,Food,1,12.67,5,6.1,Single-Game,Credit Card,Stand 2,8.5,17194,Tuesday
TXN01156,Philadelphia Flyers,3/3/2026,Regular Season,General,Food,2,11.98,25.02,4,Season Ticket Holder,Mobile Pay,Stand 3,12.7,18157,Friday
TXN01157,Philadelphia Flyers,2/13/2026,Regular Season,General,Food,3,10.9,31.88,3.4,Single-Game,Credit Card,Stand 3,10,18268,Tuesday
TXN01158,Pittsburgh Penguins,12/8/2025,Playoff,General,Food,1,11.53,23.15,11.2,Season Ticket Holder,Credit Card,Stand 4,5.1,19211,Thursday
TXN01159,Philadelphia Flyers,10/19/2025,Playoff,General,Beverage,1,13.23,17.43,18.7,Single-Game,Cash,Stand 2,1.6,18587,Wednesday
TXN01160,Philadelphia Flyers,12/3/2025,Regular Season,General,Food,1,13.93,6.25,5.5,Season Ticket Holder,Credit Card,Stand 4,13.4,17536,Sunday
TXN01161,Pittsburgh Penguins,1/9/2026,Regular Season,General,Merchandise,3,32.75,79.31,10.6,Season Ticket Holder,Credit Card,Stand 1,1.6,17754,Saturday
TXN01162,Pittsburgh Penguins,1/19/2026,Regular Season,Club,Food,2,15.09,28.96,9.4,Season Ticket Holder,Credit Card,Stand 3,4.3,17306,Friday
TXN01163,Philadelphia Flyers,2/13/2026,Playoff,General,Food,2,10.03,35.87,18.3,Season Ticket Holder,Mobile Pay,Stand 3,4.5,18297,Saturday
TXN01164,Pittsburgh Penguins,4/20/2026,Regular Season,Club,Merchandise,1,31.74,29.08,5.1,Single-Game,Credit Card,Stand 2,6.4,18562,Wednesday
TXN01165,Pittsburgh Penguins,10/7/2025,Regular Season,General,Food,2,13.28,26.26,8.4,Single-Game,Mobile Pay,Stand 4,7.5,17980,Monday
TXN01166,Pittsburgh Penguins,12/4/2025,Regular Season,General,Beverage,2,13.22,24.54,3.7,Season Ticket Holder,Credit Card,Stand 4,4,18051,Saturday
TXN01167,Pittsburgh Penguins,4/20/2026,Regular Season,General,Beverage,2,8.82,23.05,5.9,Single-Game,Credit Card,Stand 1,4.8,17956,Friday
TXN01168,Pittsburgh Penguins,4/22/2026,Playoff,Suite,Beverage,1,11.5,19.31,19,Season Ticket Holder,Mobile Pay,Stand 4,10.4,19329,Wednesday
