Obs,Date,Open,High,Low,Close,Adj Close,Volume
165,6/28/2023,187.929993,189.899994,187.600006,189.25,188.994781,51216800
166,6/29/2023,189.080002,190.070007,188.940002,189.589996,189.33432,46347300
167,6/30/2023,191.630005,194.479996,191.259995,193.970001,193.70842,85069600
168,7/3/2023,193.779999,193.880005,191.759995,192.460007,192.20047,31458200
169,7/5/2023,191.570007,192.979996,190.619995,191.330002,191.071976,46920300
170,7/6/2023,189.839996,192.020004,189.199997,191.809998,191.551331,45094300
171,7/7/2023,191.410004,192.669998,190.240005,190.679993,190.422852,46778000
172,7/10/2023,189.259995,189.990005,187.039993,188.610001,188.355652,59922200
173,7/11/2023,189.160004,189.300003,186.600006,188.080002,187.82637,46638100
174,7/12/2023,189.679993,191.699997,188.470001,189.770004,189.514084,60750200
175,7/13/2023,190.5,191.190002,189.779999,190.539993,190.283035,41342300
176,7/14/2023,190.229996,191.179993,189.630005,190.690002,190.432846,41573900
177,7/17/2023,191.899994,194.320007,191.809998,193.990005,193.728394,50520200
178,7/18/2023,193.350006,194.330002,192.419998,193.729996,193.468735,48353800
179,7/19/2023,193.100006,198.229996,192.649994,195.100006,194.836899,80507300
180,7/20/2023,195.089996,196.470001,192.5,193.130005,192.869553,59581200
181,7/21/2023,194.100006,194.970001,191.229996,191.940002,191.681168,71917800
182,7/24/2023,193.410004,194.910004,192.25,192.75,192.490067,45377800
183,7/25/2023,193.330002,194.440002,192.919998,193.619995,193.358887,37283200
184,7/26/2023,193.669998,195.639999,193.320007,194.5,194.237701,47471900
185,7/27/2023,196.020004,197.199997,192.550003,193.220001,192.959427,47460200
186,7/28/2023,194.669998,196.630005,194.139999,195.830002,195.565918,48291400
187,7/31/2023,196.059998,196.490005,195.259995,196.449997,196.185074,38824100
188,8/1/2023,196.240005,196.729996,195.279999,195.610001,195.346207,35175100
189,8/2/2023,195.039993,195.179993,191.850006,192.580002,192.320297,50389300
190,8/3/2023,191.570007,192.369995,190.690002,191.169998,190.912201,61235200
191,8/4/2023,185.520004,187.380005,181.919998,181.990005,181.744583,115799700
192,8/7/2023,182.130005,183.130005,177.350006,178.850006,178.60881,97576100
193,8/8/2023,179.690002,180.270004,177.580002,179.800003,179.557526,67823000
194,8/9/2023,180.869995,180.929993,177.009995,178.190002,177.949707,60378500
195,8/10/2023,179.479996,180.75,177.600006,177.970001,177.729996,54686900
196,8/11/2023,177.320007,178.619995,176.550003,177.789993,177.789993,51988100
197,8/14/2023,177.970001,179.690002,177.309998,179.460007,179.460007,43675600
198,8/15/2023,178.880005,179.479996,177.050003,177.449997,177.449997,43622600
199,8/16/2023,177.130005,178.539993,176.5,176.570007,176.570007,46964900
200,8/17/2023,177.139999,177.509995,173.479996,174,174,66062900
201,8/18/2023,172.300003,175.100006,171.960007,174.490005,174.490005,61114200
202,8/21/2023,175.070007,176.130005,173.740005,175.839996,175.839996,46311900
203,8/22/2023,177.059998,177.679993,176.25,177.229996,177.229996,42084200
204,8/23/2023,178.520004,181.550003,178.330002,181.119995,181.119995,52722800
205,8/24/2023,180.669998,181.100006,176.009995,176.380005,176.380005,54945800
206,8/25/2023,177.380005,179.149994,175.820007,178.610001,178.610001,51449600
207,8/28/2023,180.089996,180.589996,178.550003,180.190002,180.190002,43820700
208,8/29/2023,179.699997,184.899994,179.5,184.119995,184.119995,53003900
209,8/30/2023,184.940002,187.850006,184.740005,187.649994,187.649994,60813900
210,8/31/2023,187.839996,189.119995,187.479996,187.869995,187.869995,60794500
211,9/1/2023,189.490005,189.919998,188.279999,189.460007,189.460007,45732600
212,9/5/2023,188.279999,189.979996,187.610001,189.699997,189.699997,45280000
213,9/6/2023,188.399994,188.850006,181.470001,182.910004,182.910004,81755800
214,9/7/2023,175.179993,178.210007,173.539993,177.559998,177.559998,112488800
215,9/8/2023,178.350006,180.240005,177.789993,178.179993,178.179993,65551300
216,9/11/2023,180.070007,180.300003,177.339996,179.360001,179.360001,58953100
217,9/12/2023,179.490005,180.130005,174.820007,176.300003,176.300003,90370200
218,9/13/2023,176.509995,177.300003,173.979996,174.210007,174.210007,84267900
219,9/14/2023,174,176.100006,173.580002,175.740005,175.740005,60895800
220,9/15/2023,176.479996,176.5,173.820007,175.009995,175.009995,109205100
221,9/18/2023,176.479996,179.380005,176.169998,177.970001,177.970001,67257600
222,9/19/2023,177.520004,179.630005,177.130005,179.070007,179.070007,51826900
223,9/20/2023,179.259995,179.699997,175.399994,175.490005,175.490005,58436200
224,9/21/2023,174.550003,176.300003,173.860001,173.929993,173.929993,63047900
225,9/22/2023,174.669998,177.080002,174.050003,174.789993,174.789993,56725400
226,9/25/2023,174.199997,176.970001,174.149994,176.080002,176.080002,46172700
227,9/26/2023,174.820007,175.199997,171.660004,171.960007,171.960007,64588900
228,9/27/2023,172.619995,173.039993,169.050003,170.429993,170.429993,66921800
229,9/28/2023,169.339996,172.029999,167.619995,170.690002,170.690002,56294400
230,9/29/2023,172.020004,173.070007,170.339996,171.210007,171.210007,51814200
231,10/2/2023,171.220001,174.300003,170.929993,173.75,173.75,52164500
232,10/3/2023,172.259995,173.630005,170.820007,172.399994,172.399994,49594600
233,10/4/2023,171.089996,174.210007,170.970001,173.660004,173.660004,53020300
234,10/5/2023,173.789993,175.449997,172.679993,174.910004,174.910004,48527900
235,10/6/2023,173.800003,177.990005,173.179993,177.490005,177.490005,57224100
236,10/9/2023,176.809998,179.050003,175.800003,178.990005,178.990005,42390800
237,10/10/2023,178.100006,179.720001,177.949997,178.389999,178.389999,43698000
238,10/11/2023,178.199997,179.850006,177.600006,179.800003,179.800003,47551100
239,10/12/2023,180.070007,182.339996,179.039993,180.710007,180.710007,56743100
240,10/13/2023,181.419998,181.929993,178.139999,178.850006,178.850006,51427100
241,10/16/2023,176.75,179.080002,176.509995,178.720001,178.720001,52517000
242,10/17/2023,176.649994,178.419998,174.800003,177.149994,177.149994,57549400
243,10/18/2023,175.580002,177.580002,175.110001,175.839996,175.839996,54764400
244,10/19/2023,176.039993,177.839996,175.190002,175.460007,175.460007,59302900
245,10/20/2023,175.309998,175.419998,172.639999,172.880005,172.880005,64189300
246,10/23/2023,170.910004,174.009995,169.929993,173,173,55980100
247,10/24/2023,173.050003,173.669998,171.449997,173.440002,173.440002,43816600
248,10/25/2023,171.880005,173.059998,170.649994,171.100006,171.100006,57157000
249,10/26/2023,170.369995,171.380005,165.669998,166.889999,166.889999,70625300
250,10/27/2023,166.910004,168.960007,166.830002,168.220001,168.220001,58468600
251,10/30/2023,169.020004,171.169998,168.869995,170.289993,170.289993,51082900
252,10/31/2023,169.350006,170.75,167.899994,169.980103,169.980103,26983042
