Company	Industry	Headquarters	MarketCap
Xingda International Holdings Ltd   SEHK 1899                         	Steel                       	China 	146.6
Luoyang Bearing Science & Technology Co   Ltd   SZSE 002046           	Industrial Machinery        	China 	128.3
Maoming Petro-Chemical Shihua Co   Ltd   SZSE 000637                  	Commodity Chemicals         	China 	314.1
Zhongyuan Environment-Protection Co Ltd   SZSE 000544                 	Industrial Machinery        	China 	251.9
Jiangxi Black Cat Carbon Black Co   Ltd  SZSE 002068                  	Commodity Chemicals         	China 	170.6
Jiangsu Xinmin Textile Science & Technology Company Ltd   SZSE 002127 	Commodity Chemicals         	China 	138.3
Qinchuan Machinery Development Co   Ltd  of Shaanxi  SZSE 000837      	Industrial Machinery        	China 	259.1
Hydrobudowa Polska S A   WSE HBP                                      	Construction and Engineering	Poland	450.6
Hongrun Construction Group Co   Ltd   SZSE 002062                     	Construction and Engineering	China 	422.1
ULMA Construccion Polska S A   WSE ULM                                	Construction and Engineering	Poland	77.4
Usha Martin Ltd   BSE 517146                                          	Steel                       	India 	146.4
Yunnan Yunwei Co Ltd  SHSE 600725                                     	Commodity Chemicals         	China 	485
Guizhou Jiulian Industrial Explosive Material Development Co  Ltd   SZ	Commodity Chemicals         	China 	166
Laiwu Steel Corporation  SHSE 600102                                  	Steel                       	China 	856.6
Anhui Leimingkehua Co  Ltd   SHSE 600985                              	Commodity Chemicals         	China 	97.3
Xinjiang Bayi Iron & Steel Co   Ltd   SHSE 600581                     	Steel                       	China 	676
Temptation Foods Ltd   BSE 519228                                     	Packaged Foods and Meats    	India 	70.6
Patel Engineering Ltd   BSE 531120                                    	Construction and Engineering	India 	209.3
Sichuan Atlantic Welding Consumable Co  Ltd   SHSE 600558             	Industrial Machinery        	China 	188.9
Maanshan Iron & Steel Co  Ltd   SEHK 323                              	Steel                       	China 	2607.1
Shandong Weida Machinery Co  Ltd   SZSE 002026                        	Industrial Machinery        	China 	95.4
Simplex Infrastructures Ltd   BSE 523838                              	Construction and Engineering	India 	173.4
SA Fabrica de Produtos Alimenticios Vigor  BOVESPA VGOR4              	Packaged Foods and Meats    	Brazil	420.5
Hangzhou Iron & Steel Co   Ltd   SHSE 600126                          	Steel                       	China 	510.5
M Dias Branco SA  BOVESPA MDIA3                                       	Packaged Foods and Meats    	Brazil	1014.3
Zhuzhou Times New Material Technology Co   Ltd  SHSE 600458           	Commodity Chemicals         	China 	305.5
LG Balakrishnan & Bros Ltd  BSE 500250                                	Industrial Machinery        	India 	15.3
Baoshan Iron & Steel Co   Ltd   SHSE 600019                           	Steel                       	China 	13012.1
China Communications Construction Group Ltd   SEHK 1800               	Construction and Engineering	China 	19393.6
Guizhou Li Yuan Hydraulic Components Co Ltd  SHSE 600765              	Industrial Machinery        	China 	643.2
Dalian Zhangzidao Fishery Group Company Limited  SZSE 002069          	Packaged Foods and Meats    	China 	557.5
Xinjiang Tianye Co Ltd  SHSE 600075                                   	Commodity Chemicals         	China 	366.3
JSW Steel Ltd   BSE 500228                                            	Steel                       	India 	903.4
SUFA Technology Industry Co   Ltd  CNNC  SZSE 000777                  	Industrial Machinery        	China 	348.5
Shanxi Taigang Stainless Steel Co   Ltd   SZSE 000825                 	Steel                       	China 	3291
HaiKe Chemical Group Ltd   AIM HAIK                                   	Commodity Chemicals         	China 	15.5
Angel Yeast Co  Ltd   SHSE 600298                                     	Packaged Foods and Meats    	China 	444.2
Shanghai Dajiang  Stock Co   Ltd   SHSE 900919                        	Packaged Foods and Meats    	China 	142.7
Energomontaz Poludnie SA  WSE EPD                                     	Construction and Engineering	Poland	45
China International Marine Containers Group Co  Ltd   SZSE 000039     	Industrial Machinery        	China 	2531.2
Carborundum Universal Ltd   BSE 513375                                	Industrial Machinery        	India 	169.1
Han's Laser Technology Co   Ltd   SZSE 002008                         	Industrial Machinery        	China 	646.7
Shan Dong Haihua Co   Ltd   SZSE 000822                               	Commodity Chemicals         	China 	692.6
PRI Pol-Aqua SA  WSE PQA                                              	Construction and Engineering	Poland	173.4
Inner Mongolia Baotou Steel Union Co   Ltd   SHSE 600010              	Steel                       	China 	2583.7
Inner Mongolia Lantai Industrial  SHSE 600328                         	Commodity Chemicals         	China 	308.3
VISA Steel Ltd   BSE 532721                                           	Steel                       	India 	41.6
Guangdong Rongtai Industry Co  Ltd   SHSE 600589                      	Commodity Chemicals         	China 	302.6
Electrotherm  India  Ltd   BSE 526608                                 	Steel                       	India 	27.4
Nanning Sugar Manufacturing Co   Ltd   SZSE 000911                    	Packaged Foods and Meats    	China 	343.4
Guangdong Highsun Yongye  Group  Co  Ltd   SZSE 000861                	Commodity Chemicals         	China 	419.9
Long Yuan Construction Group Co Ltd  SHSE 600491                      	Construction and Engineering	China 	299.7
Bengang Steel Plates Co  Ltd   SZSE 200761                            	Steel                       	China 	1128.8
Rasip Agro Pastoril S  A   BOVESPA RSIP4                              	Packaged Foods and Meats    	Brazil	50
Henan Hengxing Science & Technology Co   Ltd   SZSE 002132            	Steel                       	China 	246.9
Hubei Fuxing Science & Technology Co  Ltd   SZSE 000926               	Steel                       	China 	530.2
Xinyu Iron & Steel Co   Ltd   SHSE 600782                             	Steel                       	China 	902.9
Sinoma Science & Technology Co   Ltd   SZSE 002080                    	Commodity Chemicals         	China 	467.3
ISMT Ltd   BSE 532479                                                 	Steel                       	India 	63.1
Qingdao Soda Ash Industrial Co   Ltd   SHSE 600229                    	Commodity Chemicals         	China 	217.1
Polski Koncern Miesny DUDA S A  WSE DUD                               	Packaged Foods and Meats    	Poland	38.1
Ciech SA  WSE CIE                                                     	Commodity Chemicals         	Poland	237.6
Sadbhav Engineering  Ltd   BSE 532710                                 	Construction and Engineering	India 	88
Delong Holdings Limited  SGX B1N                                      	Steel                       	China 	243.8
Premier Ltd   BSE 500540                                              	Industrial Machinery        	India 	23.9
Shenzhen Sanxin Special Glass Technology Co   Ltd   SZSE 002163       	Construction and Engineering	China 	160.5
Mangels Industrial S A   BOVESPA MGEL4                                	Steel                       	Brazil	42.2
Daqing Huake Company Limited  SZSE 000985                             	Commodity Chemicals         	China 	140.9
changjiang & jinggong steel building  group  co   ltd  SHSE 600496    	Construction and Engineering	China 	246.3
Huangshi Dongbei Electrical Appliance Co  Ltd   SHSE 900956           	Industrial Machinery        	China 	75.2
Braskem S A   BOVESPA BRKM5                                           	Commodity Chemicals         	Brazil	1390.5
Shanghai Yanhua Smartech Co  Ltd   SZSE 002178                        	Construction and Engineering	China 	106.5
China Sun Bio-chem Technology Group Company  Ltd   SGX C86            	Packaged Foods and Meats    	China 	74.4
Baoye Group Co  Ltd   SEHK 2355                                       	Construction and Engineering	China 	159.9
Hunan Valin Steel Co  Ltd   SZSE 000932                               	Steel                       	China 	2002.1
Guangdong Orient Zirconic Ind Sci & Tech Co   Ltd   SZSE 002167       	Commodity Chemicals         	China 	122.2
Beijing Shougang Co   Ltd   SZSE 000959                               	Steel                       	China 	1319.1
Bhushan Steel Ltd  BSE 500055                                         	Steel                       	India 	268.6
Koelner SA  WSE KLR                                                   	Industrial Machinery        	Poland	90.5
Jiangsu Dagang Co   Ltd   SZSE 002077                                 	Construction and Engineering	China 	213.8
Panzhihua New Steel & Vanadium Co   Ltd   SZSE 000629                 	Steel                       	China 	4375.2
Shandong Oriental Ocean Sci-Tech Co   Ltd   SZSE 002086               	Packaged Foods and Meats    	China 	216.3
Xinjiang Zhongtai Chemical Co   Ltd   SZSE 002092                     	Commodity Chemicals         	China 	533.2
Handan Iron & Steel Co   Ltd   SHSE 600001                            	Steel                       	China 	1478.9
Anyang Iron & Steel Inc   SHSE 600569                                 	Steel                       	China 	1144.9
Sadia S A   BOVESPA SDIA4                                             	Packaged Foods and Meats    	Brazil	1115.1
Bannari Amman Sugars Ltd   BSE 500041                                 	Packaged Foods and Meats    	India 	192.1
Noida Toll Bridge Co  Ltd   BSE 532481                                	Construction and Engineering	India 	86.6
Liuzhou Iron & Steel Company Ltd   SHSE 601003                        	Steel                       	China 	1244.5
Guangdong Dongyangguang Aluminum Co   Ltd  SHSE 600673                	Industrial Machinery        	China 	435.7
Guangdong Hongtu Technology  Holdings  Co   Ltd   SZSE 002101         	Industrial Machinery        	China 	88.8
New Dragon Asia Corp   AMEX NWD                                       	Packaged Foods and Meats    	China 	15.8
Chengde Xinxin Vanadium & Titanium Company Ltd   SHSE 600357          	Steel                       	China 	740.1
Industrias Romi SA  BOVESPA ROMI3                                     	Industrial Machinery        	Brazil	255.1
Perdigao S A   BOVESPA PRGA3                                          	Packaged Foods and Meats    	Brazil	2914.8
Guangdong No 2 Hydropower Engineering company  Ltd  SZSE 002060       	Construction and Engineering	China 	281.2
Hunan Nanling Industry Explosive Material Co   Ltd   SZSE 002096      	Commodity Chemicals         	China 	153.4
Shenyang Chemical Industry Co   Ltd   SZSE 000698                     	Commodity Chemicals         	China 	474.4
Luzhou Bio-chem Technology Limited  SGX L46                           	Packaged Foods and Meats    	China 	26.9
JiangXi ChangJiu BIO Chemical Ind Co ltd  SHSE 600228                 	Commodity Chemicals         	China 	127.8
Sichuan Gaojin Food Co  Ltd   SZSE 002143                             	Packaged Foods and Meats    	China 	135.5
Finolex Industries Ltd   BSE 500940                                   	Commodity Chemicals         	India 	77.5
China Gezhouba Group Company Limited  SHSE 600068                     	Construction and Engineering	China 	2219.1
COFCO Xinjiang Tunhe Co   Ltd   SHSE 600737                           	Packaged Foods and Meats    	China 	1409.1
Kepler Weber S A   BOVESPA KEPL3                                      	Industrial Machinery        	Brazil	93
Zhejiang Hangxiao Steel Structure Co Ltd   SHSE 600477                	Steel                       	China 	273.4
Guizhou Wire Rope Co Ltd  SHSE 600992                                 	Steel                       	China 	119
Zhejiang Juhua Co   Ltd   SHSE 600160                                 	Commodity Chemicals         	China 	342.9
Xinjiang Urban Construction  Group  Co   Ltd   SHSE 600545            	Construction and Engineering	China 	241.1
Shanxi Sanwei Group Co   Ltd   SZSE 000755                            	Commodity Chemicals         	China 	352.1
Beijing Shunxin Agriculture Co   Ltd   SZSE 000860                    	Packaged Foods and Meats    	China 	760.7
Xinjiang Chalkis Co  Ltd   SZSE 000972                                	Packaged Foods and Meats    	China 	370.2
SGIS Songshan Co   Ltd   SZSE 000717                                  	Steel                       	China 	825.4
Shanghai Automation Instrumentation Co   Ltd   SHSE 900928            	Industrial Machinery        	China 	160.1
Jiangsu Jiuding New Material Company Ltd  SZSE 002201                 	Commodity Chemicals         	China 	116.5
Zhejiang Shangfeng Industrial Holdings Co  Ltd   SZSE 000967          	Industrial Machinery        	China 	113.4
Blue Star New Chemical Material Co   Ltd   SHSE 600299                	Commodity Chemicals         	China 	627.7
CRBC International Co   Ltd   SHSE 600263                             	Construction and Engineering	China 	442.4
Balrampur Chini Mills Ltd   BSE 500038                                	Packaged Foods and Meats    	India 	260.8
Tengda Construction Group Co   Ltd   SHSE 600512                      	Construction and Engineering	China 	226.4
Anhui Wanwei Updated High-Tech Material Industry Company Limited  SHSE	Commodity Chemicals         	China 	276.7
Shanghai Highly  group  Co   Ltd   SHSE 900910                        	Industrial Machinery        	China 	173.2
Sichuan Jinlu Group Co   Ltd   SZSE 000510                            	Commodity Chemicals         	China 	248.6
Gem-Year Industrial Co   Ltd   SHSE 601002                            	Industrial Machinery        	China 	625.4
Ferrum Spolka Akcyjna  WSE FER                                        	Steel                       	Poland	43.5
Shanghai Tunnel Engineering Co   Ltd   SHSE 600820                    	Construction and Engineering	China 	1201.6
Polnord SA  WSE PND                                                   	Construction and Engineering	Poland	192.7
Henan Huanghe Whirlwind Co   Ltd   SHSE 600172                        	Industrial Machinery        	China 	178.4
Elstar Oils SA  WSE ELS                                               	Packaged Foods and Meats    	Poland	68.2
Hubei Kaile Science and Technology Co   Ltd   SHSE 600260             	Commodity Chemicals         	China 	225.7
Junma Tyre Cord Co   Ltd  SGX 5FJ                                     	Commodity Chemicals         	China 	17.9
Marfrig Frigoríficos e Comércio de Alimentos Ltda   BOVESPA MRFG3     	Packaged Foods and Meats    	Brazil	819.9
Guangzhou Iron & Steel Co  Ltd   SHSE 600894                          	Steel                       	China 	441.6
Harbin High-Tech Group Co   Ltd   SHSE 600095                         	Packaged Foods and Meats    	China 	170.7
Fuwei Films  Holdings  Co   Ltd   NasdaqGM FFHL                       	Commodity Chemicals         	China 	11.5
Lloyds Metals & Engineers Ltd   BSE 512455                            	Steel                       	India 	47.2
Xuzhou VV Food & Beverage Co   Ltd   SHSE 600300                      	Packaged Foods and Meats    	China 	576.9
Guangxi Nanfang Foodstuff Group Stock Co Ltd   SZSE 000716            	Packaged Foods and Meats    	China 	70.4
ABM Solid S A   WSE ABM                                               	Construction and Engineering	Poland	51.5
Wuxi Taiji Industry Co Ltd  SHSE 600667                               	Industrial Machinery        	China 	167.2
Sanan Optoelectronics Co  Ltd   SHSE 600703                           	Packaged Foods and Meats    	China 	387.1
Xi'an Typical Industries Co  Ltd   SHSE 600302                        	Industrial Machinery        	China 	164.5
Fortune Ng Fung Food  Hebei  Co  Ltd   SHSE 600965                    	Packaged Foods and Meats    	China 	211.7
Weifang Yaxing Chemical Co   Ltd   SHSE 600319                        	Commodity Chemicals         	China 	159.6
Tecnosolo Engenharia SA  BOVESPA TCNO4                                	Construction and Engineering	Brazil	30
Shaanxi Aerospace Power Hi-Tech Co  Ltd   SHSE 600343                 	Industrial Machinery        	China 	224.1
Tianjin Benefo Tejing Electric Company  Ltd   SHSE 600468             	Industrial Machinery        	China 	292.4
Qinghai Huading Industrial Co Ltd  SHSE 600243                        	Industrial Machinery        	China 	169.4
Yunnan Salt  & Chemical Industry Co  Ltd  SZSE 002053                 	Packaged Foods and Meats    	China 	275.1
China Railway Erju Co   Ltd   SHSE 600528                             	Construction and Engineering	China 	1884.6
Indykpol S A   WSE IND                                                	Packaged Foods and Meats    	Poland	26.7
Shandong Zhonglu Oceanic Fisheries Company Ltd  SZSE 200992           	Packaged Foods and Meats    	China 	51.1
JBS S A   BOVESPA JBSS3                                               	Packaged Foods and Meats    	Brazil	3057
Zetkama  WSE ZKA                                                      	Industrial Machinery        	Poland	14
Foshan Plastics Group Co   Ltd   SZSE 000973                          	Commodity Chemicals         	China 	277.7
Haikou Agriculture & Industry & Trade  Luoniushan  Co  Ltd   SZSE 0007	Packaged Foods and Meats    	China 	426.1
Bardella SA  BOVESPA BDLL4                                            	Construction and Engineering	Brazil	100.9
Zoje Sewing Machine Co   Ltd   SZSE 002021                            	Industrial Machinery        	China 	163.2
General Steel Holdings  Inc   NYSE GSI                                	Steel                       	China 	151.4
Zhejiang Southeast Space Frame Co   Ltd   SZSE 002135                 	Construction and Engineering	China 	211.8
Zaklady Tluszczowe Kruszwica SA  WSE KSW                              	Packaged Foods and Meats    	Poland	364.7
Nanning Chemical Industry Co   Ltd   SHSE 600301                      	Commodity Chemicals         	China 	164.1
Jin Hua Group Chlor-Alkali Co   Ltd   SZSE 000818                     	Commodity Chemicals         	China 	191.5
Keda Group Co  Ltd   SHSE 600986                                      	Construction and Engineering	China 	210.9
Anhui Water Resources Development Co   Ltd   SHSE 600502              	Construction and Engineering	China 	133.8
Dalian Jinniu Co   Ltd   SZSE 000961                                  	Steel                       	China 	238.3
Pangang Group Sichuan ChangCheng Special Steel Company Limited  SZSE 0	Steel                       	China 	690.7
Energomontaz Polnoc SA  WSE EPN                                       	Construction and Engineering	Poland	64.1
Shenma Industrial Co   Ltd   SHSE 600810                              	Commodity Chemicals         	China 	322.2
Graal Spólka Akcyjna  WSE GRL                                         	Packaged Foods and Meats    	Poland	21.6
Shanghai Chlor-Alkali Chemical Ltd   SHSE 900908                      	Commodity Chemicals         	China 	274.1
Haitong Food Group Company Limited  SHSE 600537                       	Packaged Foods and Meats    	China 	130.9
Fushun Special Steel Co  Ltd   SHSE 600399                            	Steel                       	China 	310.3
Jiangsu Aoyang Technology Co  Ltd   SZSE 002172                       	Commodity Chemicals         	China 	199
Boryszew S A   WSE BRS                                                	Commodity Chemicals         	Poland	49.6
Ningxia Hengli Steel Wire Rope Co   Ltd   SHSE 600165                 	Steel                       	China 	115.7
FAM–Technika Odlewnicza Spólka Akcyjna  WSE FAM                       	Industrial Machinery        	Poland	24.2
GMR Infrastructure Ltd   BSE 532754                                   	Construction and Engineering	India 	2684.8
Xinjiang Dushanzi Tianli High & New Tech Co Ltd  SHSE 600339          	Commodity Chemicals         	China 	413.6
Luyin Investment Group Co  Ltd   SHSE 600784                          	Steel                       	China 	131.1
Dalian Rubber & Plastics Machinery Co   Ltd  SHSE 600346              	Industrial Machinery        	China 	92.9
UNIPAR – União de Indústrias Petroquímicas S A   BOVESPA UNIP6        	Commodity Chemicals         	Brazil	279.7
Metalfrio Solutions Ltda   BOVESPA FRIO3                              	Industrial Machinery        	Brazil	127.6
Jiangshu Hengshun Vinegar Co Ltd  SHSE 600305                         	Packaged Foods and Meats    	China 	133.3
Jiangsu Zhongda New Material Group Co   Ltd   SHSE 600074             	Commodity Chemicals         	China 	288.2
